Type,Category,Date,Transaction,Note
Expenses,Technolgy,2025-03-01T00:00:00.000Z,"−29,99",#nowtv
Expenses,Grocery,2025-02-28T00:00:00.000Z,"−21,50","#caffe "
Expenses,Technolgy,2025-02-28T00:00:00.000Z,"−12,08",#pec
Expenses,Home,2025-02-28T00:00:00.000Z,−720,#mutuo
Expenses,Taxes,2025-02-28T00:00:00.000Z,"−221,65",#inps
Expenses,Technolgy,2025-02-28T00:00:00.000Z,"−25,95",#appleone
Expenses,Grocery,2025-02-27T00:00:00.000Z,"−6,17","#saporifelici "
Expenses,Car,2025-02-26T00:00:00.000Z,−25,"#benzina "
Expenses,Pets,2025-02-25T00:00:00.000Z,"−51,98",Pipette x6
Expenses,Grocery,2025-02-25T00:00:00.000Z,−34,"#fruttivendolo "
Expenses,Grocery,2025-02-25T00:00:00.000Z,−13,"#pescheria "
Expenses,Grocery,2025-02-24T00:00:00.000Z,"−13,50","Olio pasquinoni "
Expenses,Pets,2025-02-24T00:00:00.000Z,"−121,79","#reico "
Expenses,Restaurant,2025-02-22T00:00:00.000Z,−41,#rosticceria di pesce del borgo
Expenses,Grocery,2025-02-22T00:00:00.000Z,"−55,93","#conad "
Expenses,Technolgy,2025-02-22T00:00:00.000Z,"−10,99","#soundcloud "
Expenses,Bar,2025-02-21T00:00:00.000Z,"−12,40",Biscotti Pasta Madre
Expenses,Restaurant,2025-02-20T00:00:00.000Z,"−23,90","#pizza "
Expenses,Persona,2025-02-20T00:00:00.000Z,−40,"Scarpe Adidas "
Expenses,Grocery,2025-02-19T00:00:00.000Z,"−16,96","#macelleria "
Expenses,Grocery,2025-02-18T00:00:00.000Z,"−24,50","#fruttivendolo "
Expenses,Grocery,2025-02-18T00:00:00.000Z,−13,"#pescheria "
Expenses,Grocery,2025-02-17T00:00:00.000Z,"−7,38","#saporifelici "
